step,t,proton_id,proton_score,electron_id,electron_score,photon_id,photon_score
0,0.00000000,27,4.119507,51,5.296197,5,6.105911
10,0.50000000,40,3.955489,51,5.677448,5,6.057826
20,1.00000000,6,3.885883,51,5.034433,18,5.832620
30,1.50000000,6,3.153471,6,4.441601,59,5.429285
40,2.00000000,2,3.308857,2,4.868489,33,5.819963
50,2.50000000,2,3.716679,2,6.071970,45,5.968106
60,3.00000000,2,3.478009,2,6.093296,58,5.662947
70,3.50000000,2,4.160006,2,4.317285,58,5.830130
80,4.00000000,13,3.847549,24,3.301258,54,6.364435
90,4.50000000,13,3.563470,14,3.737632,5,6.275789
100,5.00000000,15,3.392160,15,4.414868,5,6.593373
110,5.50000000,15,3.552640,14,4.748002,5,6.888142
120,6.00000000,26,3.194307,21,5.338282,5,7.229531
130,6.50000000,15,3.037130,21,5.652519,5,7.502243
140,7.00000000,15,2.603574,21,5.973578,5,7.531678
150,7.50000000,62,2.563159,21,6.033325,5,7.018912
160,8.00000000,62,2.196867,21,5.580653,5,6.068917
170,8.50000000,54,1.922071,21,4.713960,49,6.104160
180,9.00000000,54,2.108975,21,4.571217,1,5.778151
190,9.50000000,12,1.990506,43,3.809116,1,5.855703
200,10.00000000,27,1.906454,46,4.466542,11,5.753215
210,10.50000000,46,2.411497,46,5.144184,11,5.471055
220,11.00000000,49,2.888815,46,5.172857,5,6.319751
230,11.50000000,49,4.107024,46,4.708890,5,6.472956
240,12.00000000,49,5.325503,46,3.822099,5,5.801947
250,12.50000000,49,5.779648,61,4.208951,5,4.532523
260,13.00000000,49,5.648111,61,4.669685,60,4.397892
270,13.50000000,49,3.310877,58,4.583218,38,4.542487
280,14.00000000,37,3.558496,58,5.032529,3,4.971700
290,14.50000000,37,3.759042,58,5.125881,22,4.960346
300,15.00000000,20,3.362399,58,5.023258,20,7.022361
310,15.50000000,20,3.547115,19,4.892857,20,7.038311
320,16.00000000,20,3.601995,0,5.236379,20,5.839825
330,16.50000000,20,4.103489,0,5.375110,31,4.780432
340,17.00000000,20,4.380307,0,5.103223,62,5.369773
350,17.50000000,20,4.512526,0,4.625819,53,5.618379
360,18.00000000,20,4.587370,52,4.131430,62,5.199239
370,18.50000000,20,4.671829,11,3.106777,61,4.980484
380,19.00000000,20,4.074951,11,3.581671,59,5.057831
390,19.50000000,20,3.786718,56,3.716133,51,5.380873
400,20.00000000,20,3.343511,33,4.030376,32,5.301276
410,20.50000000,49,3.296942,33,4.886734,32,5.305878
420,21.00000000,49,4.234128,33,5.700693,32,5.051104
430,21.50000000,49,4.606635,33,5.891976,32,4.935190
440,22.00000000,49,4.673019,33,5.380133,42,4.861310
450,22.50000000,49,4.113976,8,4.854891,32,4.871312
460,23.00000000,49,4.057318,8,5.023078,48,5.005695
470,23.50000000,49,4.002389,8,5.021118,48,6.138264
480,24.00000000,49,3.447437,8,4.921826,49,5.764182
490,24.50000000,51,3.229250,8,4.776922,49,6.999411
500,25.00000000,51,4.273282,42,5.725043,49,6.599144
510,25.50000000,49,3.931927,42,6.111958,49,5.382431
520,26.00000000,51,4.730099,42,6.124122,28,4.792923
530,26.50000000,49,4.568073,42,5.225855,51,6.249347
540,27.00000000,49,4.403041,42,4.597334,51,6.735377
550,27.50000000,51,4.594024,62,4.204907,1,5.702045
560,28.00000000,52,2.755449,62,4.870460,1,5.505983
570,28.50000000,14,2.897444,50,5.516268,1,5.857663
580,29.00000000,57,2.964959,50,5.416499,1,5.631756
590,29.50000000,57,3.281606,10,4.545275,46,5.181376
600,30.00000000,57,3.239219,10,4.756518,61,5.046554
610,30.50000000,53,3.826928,53,5.537917,26,5.490849
620,31.00000000,53,3.747631,53,5.500225,26,5.506767
630,31.50000000,3,4.267971,43,5.113869,24,4.541559
640,32.00000000,3,4.669382,60,5.433570,26,4.276962
650,32.50000000,3,4.848179,60,5.720164,20,4.853935
660,33.00000000,22,4.079115,60,4.989436,20,5.500900
670,33.50000000,41,4.653754,61,5.315639,22,6.228813
680,34.00000000,41,4.994240,61,5.769721,34,6.301492
690,34.50000000,41,4.852561,51,5.358245,37,5.752336
700,35.00000000,41,4.381032,48,4.556184,54,5.650345
710,35.50000000,57,3.453735,48,5.715243,33,5.109100
720,36.00000000,57,3.361844,57,4.868986,22,5.356182
730,36.50000000,57,3.457726,57,4.479585,3,5.207125
740,37.00000000,24,3.445596,63,4.498588,49,5.932394
750,37.50000000,24,4.951786,17,4.497337,49,5.179374
760,38.00000000,3,4.268935,17,5.809182,51,5.601482
770,38.50000000,3,5.053134,17,5.668214,51,5.220861
780,39.00000000,3,4.328966,60,5.264096,38,5.359084
790,39.50000000,59,3.213385,60,5.150248,0,5.087252
800,40.00000000,29,3.335184,60,4.866997,18,5.210734
810,40.50000000,29,3.686566,60,3.599102,18,5.998464
820,41.00000000,29,3.595819,60,3.924904,18,6.404283
830,41.50000000,3,5.292277,3,4.715931,28,4.953524
840,42.00000000,3,5.834436,3,5.467460,1,5.954673
850,42.50000000,3,5.661765,43,6.349640,1,4.890929
860,43.00000000,3,3.901377,43,7.020961,12,4.090270
870,43.50000000,29,3.790739,43,6.699794,39,4.963149
880,44.00000000,41,4.107898,5,6.088214,24,5.313106
890,44.50000000,41,4.263545,5,5.280420,47,5.723761
900,45.00000000,41,4.064742,5,4.542828,47,6.027220
910,45.50000000,29,3.842715,8,4.594347,6,5.666177
920,46.00000000,8,2.639918,55,4.002054,1,6.822431
930,46.50000000,49,2.667352,55,4.268729,1,5.956852
940,47.00000000,49,2.827640,21,3.791773,2,4.764482
950,47.50000000,21,2.751942,21,4.574137,11,5.340550
960,48.00000000,46,3.226003,62,3.748985,6,5.878969
970,48.50000000,3,3.621912,14,5.609892,6,5.640914
980,49.00000000,3,3.547232,14,5.063217,46,5.689257
990,49.50000000,24,5.187415,24,6.034100,63,4.222175
1000,50.00000000,24,5.347880,24,5.800178,28,4.191881
1010,50.50000000,24,4.053840,61,5.556721,47,4.361782
1020,51.00000000,46,4.725921,61,5.874096,47,4.591348
1030,51.50000000,46,5.148548,21,4.312818,20,5.191131
1040,52.00000000,46,4.880601,7,4.673500,32,5.195926
1050,52.50000000,46,3.968197,5,5.933262,3,5.368641
1060,53.00000000,7,3.443896,5,7.227553,3,5.770323
1070,53.50000000,46,4.507591,5,6.651528,3,5.996346
1080,54.00000000,46,6.537195,5,4.987082,60,4.945925
1090,54.50000000,46,7.792372,28,4.144501,60,5.251599
1100,55.00000000,46,5.904265,54,5.893417,17,4.974522
1110,55.50000000,46,4.533111,54,5.260392,27,4.461407
1120,56.00000000,46,4.798856,18,5.798171,3,4.380316
1130,56.50000000,46,5.911602,47,4.690938,10,4.816385
1140,57.00000000,46,4.595632,47,5.044169,35,5.221491
1150,57.50000000,1,4.373111,3,4.269019,35,4.654336
1160,58.00000000,46,4.054030,3,5.525386,56,4.534366
1170,58.50000000,46,5.770116,18,5.719631,1,5.298593
1180,59.00000000,46,6.728960,10,4.828825,37,4.210023
1190,59.50000000,46,5.761529,34,4.677133,36,4.552933
1200,60.00000000,46,5.350021,13,3.701074,51,5.647422
1210,60.50000000,46,4.941261,19,4.690742,1,5.593249
1220,61.00000000,46,6.272363,16,5.418073,57,5.178011
1230,61.50000000,46,5.831357,13,4.330201,51,5.422665
1240,62.00000000,46,4.529143,52,8.020144,12,4.227380
1250,62.50000000,46,6.578659,52,6.108449,28,4.945000
1260,63.00000000,46,7.854961,6,4.466680,5,5.222385
1270,63.50000000,46,6.294454,6,4.478298,12,4.751395
