t	F
0.00000000	1.00000000
0.05025126	0.99873767
0.10050251	0.99495387
0.15075377	0.98865816
0.20100503	0.97986642
0.25125628	0.96860085
0.30150754	0.95488990
0.35175879	0.93876817
0.40201005	0.92027638
0.45226131	0.89946121
0.50251256	0.87637521
0.55276382	0.85107665
0.60301508	0.82362943
0.65326633	0.79410282
0.70351759	0.76257137
0.75376884	0.72911469
0.80402010	0.69381724
0.85427136	0.65676815
0.90452261	0.61806094
0.95477387	0.57779334
1.00502513	0.53606700
1.05527638	0.49298729
1.10552764	0.44866294
1.15577889	0.40320588
1.20603015	0.35673086
1.25628141	0.30935522
1.30653266	0.26119856
1.35678392	0.21238247
1.40703518	0.16303018
1.45728643	0.11326630
1.50753769	0.06321646
1.55778894	0.01300702
1.60804020	0.03723526
1.65829146	0.08738354
1.70854271	0.13731120
1.75879397	0.18689219
1.80904523	0.23600135
1.85929648	0.28451469
1.90954774	0.33230972
1.95979899	0.37926578
2.01005025	0.42526433
2.06030151	0.47018924
2.11055276	0.51392707
2.16080402	0.55636742
2.21105528	0.59740312
2.26130653	0.63693059
2.31155779	0.67485003
2.36180905	0.71106571
2.41206030	0.74548618
2.46231156	0.77802456
2.51256281	0.80859869
2.56281407	0.83713139
2.61306533	0.86355062
2.66331658	0.88778968
2.71356784	0.90978737
2.76381910	0.92948817
2.81407035	0.94684232
2.86432161	0.96180602
2.91457286	0.97434149
2.96482412	0.98441708
3.01507538	0.99200736
3.06532663	0.99709316
3.11557789	0.99966164
3.16582915	0.99970631
3.21608040	0.99722707
3.26633166	0.99223017
3.31658291	0.98472823
3.36683417	0.97474019
3.41708543	0.96229127
3.46733668	0.94741289
3.51758794	0.93014262
3.56783920	0.91052405
3.61809045	0.88860672
3.66834171	0.86444597
3.71859296	0.83810279
3.76884422	0.80964368
3.81909548	0.77914050
3.86934673	0.74667026
3.91959799	0.71231493
3.96984925	0.67616125
4.02010050	0.63830049
4.07035176	0.59882825
4.12060302	0.55784417
4.17085427	0.51545172
4.22110553	0.47175793
4.27135678	0.42687312
4.32160804	0.38091060
4.37185930	0.33398641
4.42211055	0.28621902
4.47236181	0.23772902
4.52261307	0.18863884
4.57286432	0.13907241
4.62311558	0.08915487
4.67336683	0.03901224
4.72361809	0.01122887
4.77386935	0.06144164
4.82412060	0.11149929
4.87437186	0.16127544
4.92462312	0.21064443
4.97487437	0.25948161
5.02512563	0.30766369
5.07537688	0.35506903
5.12562814	0.40157793
5.17587940	0.44707299
5.22613065	0.49143935
5.27638191	0.53456498
5.32663317	0.57634103
5.37688442	0.61666201
5.42713568	0.65542613
5.47738693	0.69253552
5.52763819	0.72789650
5.57788945	0.76141979
5.62814070	0.79302076
5.67839196	0.82261962
5.72864322	0.85014164
5.77889447	0.87551735
5.82914573	0.89868268
5.87939698	0.91957915
5.92964824	0.93815399
5.97989950	0.95436031
6.03015075	0.96815720
6.08040201	0.97950983
6.13065327	0.98838953
6.18090452	0.99477388
6.23115578	0.99864677
6.28140704	0.99999842
6.33165829	0.99882541
6.38190955	0.99513072
6.43216080	0.98892366
6.48241206	0.98021991
6.53266332	0.96904143
6.58291457	0.95541646
6.63316583	0.93937939
6.68341709	0.92097071
6.73366834	0.90023689
6.78391960	0.87723029
6.83417085	0.85200898
6.88442211	0.82463663
6.93467337	0.79518236
6.98492462	0.76372053
7.03517588	0.73033057
7.08542714	0.69509677
7.13567839	0.65810809
7.18592965	0.61945791
7.23618090	0.57924382
7.28643216	0.53756733
7.33668342	0.49453367
7.38693467	0.45025148
7.43718593	0.40483256
7.48743719	0.35839157
7.53768844	0.31104577
7.58793970	0.26291469
7.63819095	0.21411984
7.68844221	0.16478440
7.73869347	0.11503295
7.78894472	0.06499107
7.83919598	0.01478512
7.88944724	0.03545817
7.93969849	0.08561193
7.98994975	0.13554955
8.04020101	0.18514496
8.09045226	0.23427294
8.14070352	0.28280946
8.19095477	0.33063198
8.24120603	0.37761977
8.29145729	0.42365420
8.34170854	0.46861905
8.39195980	0.51240080
8.44221106	0.55488891
8.49246231	0.59597611
8.54271357	0.63555868
8.59296482	0.67353668
8.64321608	0.70981423
8.69346734	0.74429975
8.74371859	0.77690616
8.79396985	0.80755115
8.84422111	0.83615735
8.89447236	0.86265254
8.94472362	0.88696983
8.99497487	0.90904782
9.04522613	0.92883078
9.09547739	0.94626876
9.14572864	0.96131773
9.19597990	0.97393971
9.24623116	0.98410282
9.29648241	0.99178141
9.34673367	0.99695609
9.39698492	0.99961380
9.44723618	0.99974782
9.49748744	0.99735783
9.54773869	0.99244985
9.59798995	0.98503627
9.64824121	0.97513582
9.69849246	0.96277348
9.74874372	0.94798046
9.79899497	0.93079412
9.84924623	0.91125785
9.89949749	0.88942096
9.94974874	0.86533859
10.00000000	0.83907153
