t	F
0.00000000	1.00000000
0.05025126	1.00000000
0.10050251	1.00000000
0.15075377	1.00000000
0.20100503	1.00000000
0.25125628	1.00000000
0.30150754	1.00000000
0.35175879	1.00000000
0.40201005	1.00000000
0.45226131	1.00000000
0.50251256	1.00000000
0.55276382	1.00000000
0.60301508	1.00000000
0.65326633	1.00000000
0.70351759	1.00000000
0.75376884	1.00000000
0.80402010	1.00000000
0.85427136	1.00000000
0.90452261	1.00000000
0.95477387	1.00000000
1.00502513	1.00000000
1.05527638	1.00000000
1.10552764	1.00000000
1.15577889	1.00000000
1.20603015	1.00000000
1.25628141	1.00000000
1.30653266	1.00000000
1.35678392	1.00000000
1.40703518	1.00000000
1.45728643	1.00000000
1.50753769	1.00000000
1.55778894	1.00000000
1.60804020	1.00000000
1.65829146	1.00000000
1.70854271	1.00000000
1.75879397	1.00000000
1.80904523	1.00000000
1.85929648	1.00000000
1.90954774	1.00000000
1.95979899	1.00000000
2.01005025	1.00000000
2.06030151	1.00000000
2.11055276	1.00000000
2.16080402	1.00000000
2.21105528	1.00000000
2.26130653	1.00000000
2.31155779	1.00000000
2.36180905	1.00000000
2.41206030	1.00000000
2.46231156	1.00000000
2.51256281	1.00000000
2.56281407	1.00000000
2.61306533	1.00000000
2.66331658	1.00000000
2.71356784	1.00000000
2.76381910	1.00000000
2.81407035	1.00000000
2.86432161	1.00000000
2.91457286	1.00000000
2.96482412	1.00000000
3.01507538	1.00000000
3.06532663	1.00000000
3.11557789	1.00000000
3.16582915	1.00000000
3.21608040	1.00000000
3.26633166	1.00000000
3.31658291	1.00000000
3.36683417	1.00000000
3.41708543	1.00000000
3.46733668	1.00000000
3.51758794	1.00000000
3.56783920	1.00000000
3.61809045	1.00000000
3.66834171	1.00000000
3.71859296	1.00000000
3.76884422	1.00000000
3.81909548	1.00000000
3.86934673	1.00000000
3.91959799	1.00000000
3.96984925	1.00000000
4.02010050	1.00000000
4.07035176	1.00000000
4.12060302	1.00000000
4.17085427	1.00000000
4.22110553	1.00000000
4.27135678	1.00000000
4.32160804	1.00000000
4.37185930	1.00000000
4.42211055	1.00000000
4.47236181	1.00000000
4.52261307	1.00000000
4.57286432	1.00000000
4.62311558	1.00000000
4.67336683	1.00000000
4.72361809	1.00000000
4.77386935	1.00000000
4.82412060	1.00000000
4.87437186	1.00000000
4.92462312	1.00000000
4.97487437	1.00000000
5.02512563	1.00000000
5.07537688	1.00000000
5.12562814	1.00000000
5.17587940	1.00000000
5.22613065	1.00000000
5.27638191	1.00000000
5.32663317	1.00000000
5.37688442	1.00000000
5.42713568	1.00000000
5.47738693	1.00000000
5.52763819	1.00000000
5.57788945	1.00000000
5.62814070	1.00000000
5.67839196	1.00000000
5.72864322	1.00000000
5.77889447	1.00000000
5.82914573	1.00000000
5.87939698	1.00000000
5.92964824	1.00000000
5.97989950	1.00000000
6.03015075	1.00000000
6.08040201	1.00000000
6.13065327	1.00000000
6.18090452	1.00000000
6.23115578	1.00000000
6.28140704	1.00000000
6.33165829	1.00000000
6.38190955	1.00000000
6.43216080	1.00000000
6.48241206	1.00000000
6.53266332	1.00000000
6.58291457	1.00000000
6.63316583	1.00000000
6.68341709	1.00000000
6.73366834	1.00000000
6.78391960	1.00000000
6.83417085	1.00000000
6.88442211	1.00000000
6.93467337	1.00000000
6.98492462	1.00000000
7.03517588	1.00000000
7.08542714	1.00000000
7.13567839	1.00000000
7.18592965	1.00000000
7.23618090	1.00000000
7.28643216	1.00000000
7.33668342	1.00000000
7.38693467	1.00000000
7.43718593	1.00000000
7.48743719	1.00000000
7.53768844	1.00000000
7.58793970	1.00000000
7.63819095	1.00000000
7.68844221	1.00000000
7.73869347	1.00000000
7.78894472	1.00000000
7.83919598	1.00000000
7.88944724	1.00000000
7.93969849	1.00000000
7.98994975	1.00000000
8.04020101	1.00000000
8.09045226	1.00000000
8.14070352	1.00000000
8.19095477	1.00000000
8.24120603	1.00000000
8.29145729	1.00000000
8.34170854	1.00000000
8.39195980	1.00000000
8.44221106	1.00000000
8.49246231	1.00000000
8.54271357	1.00000000
8.59296482	1.00000000
8.64321608	1.00000000
8.69346734	1.00000000
8.74371859	1.00000000
8.79396985	1.00000000
8.84422111	1.00000000
8.89447236	1.00000000
8.94472362	1.00000000
8.99497487	1.00000000
9.04522613	1.00000000
9.09547739	1.00000000
9.14572864	1.00000000
9.19597990	1.00000000
9.24623116	1.00000000
9.29648241	1.00000000
9.34673367	1.00000000
9.39698492	1.00000000
9.44723618	1.00000000
9.49748744	1.00000000
9.54773869	1.00000000
9.59798995	1.00000000
9.64824121	1.00000000
9.69849246	1.00000000
9.74874372	1.00000000
9.79899497	1.00000000
9.84924623	1.00000000
9.89949749	1.00000000
9.94974874	1.00000000
10.00000000	1.00000000
