phi	S
0.00000000	1.00000000
0.01578690	0.99688952
0.03157380	0.98761601
0.04736069	0.97235147
0.06314759	0.95137666
0.07893449	0.92507250
0.09472139	0.89390858
0.11050828	0.85842925
0.12629518	0.81923778
0.14208208	0.77697938
0.15786898	0.73232368
0.17365588	0.68594726
0.18944277	0.63851695
0.20522967	0.59067447
0.22101657	0.54302276
0.23680347	0.49611451
0.25259036	0.45044304
0.26837726	0.40643574
0.28416416	0.36445001
0.29995106	0.32477165
0.31573796	0.28761552
0.33152485	0.25312822
0.34731175	0.22139250
0.36309865	0.19243288
0.37888555	0.16622247
0.39467244	0.14269023
0.41045934	0.12172865
0.42624624	0.10320136
0.44203314	0.08695051
0.45782003	0.07280361
0.47360693	0.06057978
0.48939383	0.05009525
0.50518073	0.04116798
0.52096763	0.03362146
0.53675452	0.02728774
0.55254142	0.02200963
0.56832832	0.01764217
0.58411522	0.01405352
0.59990211	0.01112532
0.61568901	0.00875253
0.63147591	0.00684304
0.64726281	0.00531690
0.66304971	0.00410546
0.67883660	0.00315036
0.69462350	0.00240243
0.71041040	0.00182070
0.72619730	0.00137125
0.74198419	0.00102634
0.75777109	0.00076341
0.77355799	0.00056431
0.78934489	0.00041455
0.80513179	0.00030264
0.82091868	0.00021957
0.83670558	0.00015831
0.85249248	0.00011343
0.86827938	0.00008077
0.88406627	0.00005716
0.89985317	0.00004020
0.91564007	0.00002809
0.93142697	0.00001951
0.94721387	0.00001347
0.96300076	0.00000924
0.97878766	0.00000630
0.99457456	0.00000427
1.01036146	0.00000287
1.02614835	0.00000192
1.04193525	0.00000128
1.05772215	0.00000084
1.07350905	0.00000055
1.08929595	0.00000036
1.10508284	0.00000023
1.12086974	0.00000015
1.13665664	0.00000010
1.15244354	0.00000006
1.16823043	0.00000004
1.18401733	0.00000002
1.19980423	0.00000002
1.21559113	0.00000001
1.23137803	0.00000001
1.24716492	0.00000000
1.26295182	0.00000000
1.27873872	0.00000000
1.29452562	0.00000000
1.31031251	0.00000000
1.32609941	0.00000000
1.34188631	0.00000000
1.35767321	0.00000000
1.37346010	0.00000000
1.38924700	0.00000000
1.40503390	0.00000000
1.42082080	0.00000000
1.43660770	0.00000000
1.45239459	0.00000000
1.46818149	0.00000000
1.48396839	0.00000000
1.49975529	0.00000000
1.51554218	0.00000000
1.53132908	0.00000000
1.54711598	0.00000000
1.56290288	0.00000000
1.57868978	0.00000000
1.59447667	0.00000000
1.61026357	0.00000000
1.62605047	0.00000000
1.64183737	0.00000000
1.65762426	0.00000000
1.67341116	0.00000000
1.68919806	0.00000000
1.70498496	0.00000000
1.72077186	0.00000000
1.73655875	0.00000000
1.75234565	0.00000000
1.76813255	0.00000000
1.78391945	0.00000000
1.79970634	0.00000000
1.81549324	0.00000000
1.83128014	0.00000000
1.84706704	0.00000000
1.86285394	0.00000000
1.87864083	0.00000000
1.89442773	0.00000000
1.91021463	0.00000001
1.92600153	0.00000001
1.94178842	0.00000002
1.95757532	0.00000002
1.97336222	0.00000004
1.98914912	0.00000006
2.00493602	0.00000010
2.02072291	0.00000015
2.03650981	0.00000023
2.05229671	0.00000036
2.06808361	0.00000055
2.08387050	0.00000084
2.09965740	0.00000128
2.11544430	0.00000192
2.13123120	0.00000287
2.14701809	0.00000427
2.16280499	0.00000630
2.17859189	0.00000924
2.19437879	0.00001347
2.21016569	0.00001951
2.22595258	0.00002809
2.24173948	0.00004020
2.25752638	0.00005716
2.27331328	0.00008077
2.28910017	0.00011343
2.30488707	0.00015831
2.32067397	0.00021957
2.33646087	0.00030264
2.35224777	0.00041455
2.36803466	0.00056431
2.38382156	0.00076341
2.39960846	0.00102634
2.41539536	0.00137125
2.43118225	0.00182070
2.44696915	0.00240243
2.46275605	0.00315036
2.47854295	0.00410546
2.49432985	0.00531690
2.51011674	0.00684304
2.52590364	0.00875253
2.54169054	0.01112532
2.55747744	0.01405352
2.57326433	0.01764217
2.58905123	0.02200963
2.60483813	0.02728774
2.62062503	0.03362146
2.63641193	0.04116798
2.65219882	0.05009525
2.66798572	0.06057978
2.68377262	0.07280361
2.69955952	0.08695051
2.71534641	0.10320136
2.73113331	0.12172865
2.74692021	0.14269023
2.76270711	0.16622247
2.77849401	0.19243288
2.79428090	0.22139250
2.81006780	0.25312822
2.82585470	0.28761552
2.84164160	0.32477165
2.85742849	0.36445001
2.87321539	0.40643574
2.88900229	0.45044304
2.90478919	0.49611451
2.92057608	0.54302276
2.93636298	0.59067447
2.95214988	0.63851695
2.96793678	0.68594726
2.98372368	0.73232368
2.99951057	0.77697938
3.01529747	0.81923778
3.03108437	0.85842925
3.04687127	0.89390858
3.06265816	0.92507250
3.07844506	0.95137666
3.09423196	0.97235147
3.11001886	0.98761601
3.12580576	0.99688952
3.14159265	1.00000000
