step copyability_sym copyability_anti purity_sym purity_anti
1.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
2.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
3.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
4.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
5.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
6.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
7.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
8.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
9.000000000000000000e+00 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
1.000000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
1.100000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
1.200000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
1.300000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
1.400000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
1.500000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
1.600000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
1.700000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
1.800000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999998890e-01
1.900000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
2.000000000000000000e+01 7.071067811865472397e-01 7.071067811865472397e-01 4.999999999999997780e-01 4.999999999999997780e-01
