k E
-3.141592653589793116e+00 2.000000000000000000e+00
-3.041859553475831479e+00 1.990061550730802820e+00
-2.942126453361869842e+00 1.960344975697087655e+00
-2.842393353247908205e+00 1.911145611572281577e+00
-2.742660253133946568e+00 1.842952423740815471e+00
-2.642927153019984488e+00 1.756443146740456873e+00
-2.543194052906022851e+00 1.652477548631989368e+00
-2.443460952792061214e+00 1.532088886237955805e+00
-2.343727852678099577e+00 1.396473636172145483e+00
-2.243994752564137940e+00 1.246979603717466967e+00
-2.144261652450176303e+00 1.085092527731518652e+00
-2.044528552336214666e+00 9.124213147063259255e-01
-1.944795452222252807e+00 7.306820487327897462e-01
-1.845062352108291170e+00 5.416809362860099952e-01
-1.745329251994329312e+00 3.472963553338601628e-01
-1.645596151880367675e+00 1.494601871728480913e-01
-1.545863051766406038e+00 -4.986138347614606919e-02
-1.446129951652444401e+00 -2.486874092949705461e-01
-1.346396851538482764e+00 -4.450418679126288968e-01
-1.246663751424520905e+00 -6.369733005033693107e-01
-1.146930651310559268e+00 -8.225742062612233507e-01
-1.047197551196597409e+00 -1.000000000000000666e+00
-9.474644510826357724e-01 -1.167487344469580135e+00
-8.477313509686741355e-01 -1.323371675193719232e+00
-7.479982508547124986e-01 -1.466103743659652903e+00
-6.482651507407508618e-01 -1.594265014445845008e+00
-5.485320506267892249e-01 -1.706581763264311435e+00
-4.487989505128275880e-01 -1.801937735804838292e+00
-3.490658503988655070e-01 -1.879385241571817078e+00
-2.493327502849038702e-01 -1.938154572458156144e+00
-1.495996501709422333e-01 -1.977661652450257268e+00
-4.986655005698059639e-02 -1.997513842437844689e+00
4.986655005698104048e-02 -1.997513842437844689e+00
1.495996501709426774e-01 -1.977661652450257046e+00
2.493327502849043142e-01 -1.938154572458155922e+00
3.490658503988659511e-01 -1.879385241571816634e+00
4.487989505128275880e-01 -1.801937735804838292e+00
5.485320506267896690e-01 -1.706581763264310991e+00
6.482651507407513058e-01 -1.594265014445844564e+00
7.479982508547129427e-01 -1.466103743659652237e+00
8.477313509686745796e-01 -1.323371675193718566e+00
9.474644510826362165e-01 -1.167487344469579469e+00
1.047197551196598297e+00 -9.999999999999990008e-01
1.146930651310559490e+00 -8.225742062612230177e-01
1.246663751424521571e+00 -6.369733005033679785e-01
1.346396851538482764e+00 -4.450418679126288968e-01
1.446129951652444845e+00 -2.486874092949696857e-01
1.545863051766406038e+00 -4.986138347614606919e-02
1.645596151880368119e+00 1.494601871728489795e-01
1.745329251994330200e+00 3.472963553338619391e-01
1.845062352108291392e+00 5.416809362860104393e-01
1.944795452222253473e+00 7.306820487327909674e-01
2.044528552336214666e+00 9.124213147063259255e-01
2.144261652450176747e+00 1.085092527731519541e+00
2.243994752564137940e+00 1.246979603717466967e+00
2.343727852678100021e+00 1.396473636172146149e+00
2.443460952792062102e+00 1.532088886237956915e+00
2.543194052906023295e+00 1.652477548631990034e+00
2.642927153019985376e+00 1.756443146740457539e+00
2.742660253133946568e+00 1.842952423740815471e+00
2.842393353247908649e+00 1.911145611572281799e+00
2.942126453361869842e+00 1.960344975697087655e+00
3.041859553475831923e+00 1.990061550730802820e+00
3.141592653589793116e+00 2.000000000000000000e+00
