t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943263905586947615e-01
1.507537688442210921e-01 9.774021012850249157e-01
2.261306532663316382e-01 9.495149243005956974e-01
3.015075376884421843e-01 9.111384659362893323e-01
3.768844221105527303e-01 8.629232019735989523e-01
4.522613065326632764e-01 8.056842044334509012e-01
5.276381909547738225e-01 7.403857832429900920e-01
6.030150753768843686e-01 6.681233470332242907e-01
6.783919597989949146e-01 5.901028420393346074e-01
7.537688442211054607e-01 5.076181754802485679e-01
8.291457286432160068e-01 4.220270689259324470e-01
9.045226130653265528e-01 3.347258172327347014e-01
9.798994974874370989e-01 2.471234490397434258e-01
1.055276381909547645e+00 1.606157951734258071e-01
1.130653266331658191e+00 7.655997141279557994e-02
1.206030150753768737e+00 3.750228056093028207e-03
1.281407035175879283e+00 7.910755028752564089e-02
1.356783919597989829e+00 1.484126697953410123e-01
1.432160804020100375e+00 2.106933334172747252e-01
1.507537688442210921e+00 2.651209026088028886e-01
1.582914572864321467e+00 3.110239857872413860e-01
1.658291457286432014e+00 3.478989131818041591e-01
1.733668341708542560e+00 3.754168712311679590e-01
1.809045226130653106e+00 3.934275815648395902e-01
1.884422110552763652e+00 4.019594796000351411e-01
1.959798994974874198e+00 4.012164183369743009e-01
2.035175879396984744e+00 3.915709925910613176e-01
2.110552763819095290e+00 3.735546462330457396e-01
2.185929648241205836e+00 3.478447886438503223e-01
2.261306532663316382e+00 3.152492052377213194e-01
2.336683417085426928e+00 2.766880993825417412e-01
2.412060301507537474e+00 2.331741482996968762e-01
2.487437185929648020e+00 1.857909926625416208e-01
2.562814070351758566e+00 1.356706079095498507e-01
2.638190954773869112e+00 8.397002421036504904e-02
2.713567839195979658e+00 3.184787123226714978e-02
2.788944723618090205e+00 1.955877678278591589e-02
2.864321608040200751e+00 6.915679053249669528e-02
2.939698492462311297e+00 1.159181645733630417e-01
3.015075376884421843e+00 1.588995693966573086e-01
3.090452261306532389e+00 1.972598977209188420e-01
3.165829145728642935e+00 2.302754709077332318e-01
3.241206030150753481e+00 2.573526228115528003e-01
3.316582914572864027e+00 2.780374352208608291e-01
3.391959798994974573e+00 2.920224601150618327e-01
3.467336683417085119e+00 2.991503279457872200e-01
3.542713567839195665e+00 2.994142066957976578e-01
3.618090452261306211e+00 2.929551421917609977e-01
3.693467336683416757e+00 2.800563746717149582e-01
3.768844221105527303e+00 2.611347885904860000e-01
3.844221105527637850e+00 2.367297108048676546e-01
3.919597989949748396e+00 2.074893254216686189e-01
3.994974874371858942e+00 1.741550206356622665e-01
4.070351758793969488e+00 1.375440228862697956e-01
4.145728643216079590e+00 9.853070583146854300e-02
4.221105527638190580e+00 5.802698535534885071e-02
4.296482412060301570e+00 1.696222665506715715e-02
4.371859296482411672e+00 2.373690485231642888e-02
4.447236180904521774e+00 6.316622055343866504e-02
4.522613065326632764e+00 1.004629978753729530e-01
4.597989949748743754e+00 1.348237872573628815e-01
4.673366834170853856e+00 1.655206718079414718e-01
4.748743718592963958e+00 1.919156515279751285e-01
4.824120603015074948e+00 2.134728675690767408e-01
4.899497487437185939e+00 2.297684312659390160e-01
4.974874371859296041e+00 2.404976765370931413e-01
5.050251256281406143e+00 2.454797115080468439e-01
5.125628140703517133e+00 2.446592046253839581e-01
5.201005025125628123e+00 2.381054008143862755e-01
5.276381909547738225e+00 2.260084230901911184e-01
5.351758793969848327e+00 2.086729731852694780e-01
5.427135678391959317e+00 1.865095999708349939e-01
5.502512562814070307e+00 1.600237555643611587e-01
5.577889447236180409e+00 1.298029049627844600e-01
5.653266331658290511e+00 9.650199487189667358e-02
5.728643216080401501e+00 6.082762030476288051e-02
5.804020100502512491e+00 2.352125283742952447e-02
5.879396984924622593e+00 1.465808835276218025e-02
5.954773869346732695e+00 5.295133269713497848e-02
6.030150753768843686e+00 9.061663140718620446e-02
6.105527638190954676e+00 1.269460254783694453e-01
6.180904522613064778e+00 1.612811427966565347e-01
6.256281407035174880e+00 1.930275828520891801e-01
6.331658291457285870e+00 2.216676790569542532e-01
6.407035175879396860e+00 2.467713666925873406e-01
6.482412060301506962e+00 2.680049282053414417e-01
6.557788944723617064e+00 2.851374359593364383e-01
6.633165829145728054e+00 2.980447645568038983e-01
6.708542713567839044e+00 3.067110993099660399e-01
6.783919597989949146e+00 3.112279231992122752e-01
6.859296482412059248e+00 3.117905204677662856e-01
6.934673366834170238e+00 3.086920896757884281e-01
7.010050251256281229e+00 3.023156113910198672e-01
7.085427135678391330e+00 2.931236646093058340e-01
7.160804020100501432e+00 2.816464304375187466e-01
7.236180904522612423e+00 2.684681605964977513e-01
7.311557788944723413e+00 2.542124210971890563e-01
7.386934673366833515e+00 2.395264473320957710e-01
7.462311557788943617e+00 2.250649652816015811e-01
7.537688442211054607e+00 2.114738441981946215e-01
7.613065326633165597e+00 1.993739488081653077e-01
7.688442211055275699e+00 1.893455537394018451e-01
7.763819095477385801e+00 1.819136696971321576e-01
7.839195979899496791e+00 1.775346101860036108e-01
7.914572864321607781e+00 1.765840997963241121e-01
7.989949748743717883e+00 1.793471908625508537e-01
8.065326633165827985e+00 1.860102154261822904e-01
8.140703517587938975e+00 1.966549547730229441e-01
8.216080402010049966e+00 2.112551603447914983e-01
8.291457286432159179e+00 2.296755086016946945e-01
8.366834170854270170e+00 2.516730195442727913e-01
8.442211055276381160e+00 2.769009152271990626e-01
8.517587939698492150e+00 3.049148418577767305e-01
8.592964824120603140e+00 3.351813280910798110e-01
8.668341708542712354e+00 3.670883039925140756e-01
8.743718592964823344e+00 3.999574608514817609e-01
8.819095477386934334e+00 4.330581925240611363e-01
8.894472361809043548e+00 4.656228250792670553e-01
8.969849246231154538e+00 4.968628139200026994e-01
9.045226130653265528e+00 5.259855668069627344e-01
9.120603015075376518e+00 5.522115377433121086e-01
9.195979899497487509e+00 5.747912307359565043e-01
9.271356783919596722e+00 5.930217541307172269e-01
9.346733668341707713e+00 6.062625754573147674e-01
9.422110552763818703e+00 6.139501432899481248e-01
9.497487437185927917e+00 6.156110661514050397e-01
9.572864321608038907e+00 6.108735684393713505e-01
9.648241206030149897e+00 5.994769790771499185e-01
9.723618090452260887e+00 5.812790493137446335e-01
9.798994974874371877e+00 5.562609409462859755e-01
9.874371859296481091e+00 5.245297742556905840e-01
