t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943263905586946505e-01
1.507537688442210921e-01 9.774021012850248047e-01
2.261306532663316382e-01 9.495149243005956974e-01
3.015075376884421843e-01 9.111384659362893323e-01
3.768844221105527303e-01 8.629232019735989523e-01
4.522613065326632764e-01 8.056842044334509012e-01
5.276381909547738225e-01 7.403857832429900920e-01
6.030150753768843686e-01 6.681233470332241797e-01
6.783919597989949146e-01 5.901028420393344964e-01
7.537688442211054607e-01 5.076181754802476798e-01
8.291457286432160068e-01 4.220270689259278951e-01
9.045226130653265528e-01 3.347258172327164383e-01
9.798994974874370989e-01 2.471234490396781447e-01
1.055276381909547645e+00 1.606157951732140876e-01
1.130653266331658191e+00 7.655997141216323854e-02
1.206030150753768737e+00 3.750228057850523832e-03
1.281407035175879283e+00 7.910755029211090361e-02
1.356783919597989829e+00 1.484126698066496608e-01
1.432160804020100375e+00 2.106933334438026439e-01
1.507537688442210921e+00 2.651209026682901926e-01
1.582914572864321467e+00 3.110239859153136055e-01
1.658291457286432014e+00 3.478989134475174438e-01
1.733668341708542560e+00 3.754168717641363506e-01
1.809045226130653106e+00 3.934275826012756938e-01
1.884422110552763652e+00 4.019594815589229153e-01
1.959798994974874198e+00 4.012164219431668677e-01
2.035175879396984744e+00 3.915709990699396958e-01
2.110552763819095290e+00 3.735546576121933082e-01
2.185929648241205836e+00 3.478448082118860141e-01
2.261306532663316382e+00 3.152492382300351448e-01
2.336683417085426928e+00 2.766881539894478492e-01
2.412060301507537474e+00 2.331742371259054036e-01
2.487437185929648020e+00 1.857911348095079296e-01
2.562814070351758566e+00 1.356708319060344337e-01
2.638190954773869112e+00 8.397037208347504778e-02
2.713567839195979658e+00 3.184840409351740592e-02
2.788944723618090205e+00 1.955797116191798288e-02
2.864321608040200751e+00 6.915558756112648309e-02
2.939698492462311297e+00 1.159163893611810658e-01
3.015075376884421843e+00 1.588969790497892220e-01
3.090452261306532389e+00 1.972561583166407562e-01
3.165829145728642935e+00 2.302701278292692832e-01
3.241206030150753481e+00 2.573450628729608280e-01
3.316582914572864027e+00 2.780268387307850420e-01
3.391959798994974573e+00 2.920077407171604023e-01
3.467336683417085119e+00 2.991300577342032585e-01
3.542713567839195665e+00 2.993865237385742173e-01
3.618090452261306211e+00 2.929176372074036583e-01
3.693467336683416757e+00 2.800059531995176543e-01
3.768844221105527303e+00 2.610675045807786532e-01
3.844221105527637850e+00 2.366405671398750521e-01
3.919597989949748396e+00 2.073720364719515707e-01
3.994974874371858942e+00 1.740017315739564863e-01
4.070351758793969488e+00 1.373449801346888766e-01
4.145728643216079590e+00 9.827387272630137838e-02
4.221105527638190580e+00 5.769759689463758306e-02
4.296482412060301570e+00 1.654227706815489252e-02
4.371859296482411672e+00 2.426924798533179606e-02
4.447236180904521774e+00 6.383728177804674775e-02
4.522613065326632764e+00 1.013043447930494778e-01
4.597989949748743754e+00 1.358730722960920234e-01
4.673366834170853856e+00 1.668225695387791641e-01
4.748743718592963958e+00 1.935228953233738003e-01
4.824120603015074948e+00 2.154473882382012817e-01
4.899497487437185939e+00 2.321825988738561719e-01
4.974874371859296041e+00 2.434356449044790260e-01
5.050251256281406143e+00 2.490388628862839626e-01
5.125628140703517133e+00 2.489516897442967391e-01
5.201005025125628123e+00 2.432597669082814384e-01
5.276381909547738225e+00 2.321713196312293892e-01
5.351758793969848327e+00 2.160109219082917420e-01
5.427135678391959317e+00 1.952108123858949940e-01
5.502512562814070307e+00 1.702999775568041219e-01
5.577889447236180409e+00 1.418912643197471346e-01
5.653266331658290511e+00 1.106668237023596540e-01
5.728643216080401501e+00 7.736222040140022793e-02
5.804020100502512491e+00 4.274956813577450443e-02
5.879396984924622593e+00 7.620068153648498245e-03
5.954773869346732695e+00 2.723366272150870571e-02
6.030150753768843686e+00 6.103508750517038645e-02
6.105527638190954676e+00 9.304068867973089296e-02
6.180904522613064778e+00 1.225559886767349088e-01
6.256281407035174880e+00 1.489503114624698976e-01
6.331658291457285870e+00 1.716699762313085020e-01
6.407035175879396860e+00 1.902496513880733708e-01
6.482412060301506962e+00 2.043216397406052987e-01
6.557788944723617064e+00 2.136229131542451420e-01
6.633165829145728054e+00 2.179997657765040397e-01
6.708542713567839044e+00 2.174100081897044068e-01
6.783919597989949146e+00 2.119226793155537525e-01
6.859296482412059248e+00 2.017153073843552802e-01
6.934673366834170238e+00 1.870688046074621136e-01
7.010050251256281229e+00 1.683601312031708097e-01
7.085427135678391330e+00 1.460529120311399032e-01
7.160804020100501432e+00 1.206862322783808367e-01
7.236180904522612423e+00 9.286187650442803698e-02
7.311557788944723413e+00 6.323030711064381304e-02
7.386934673366833515e+00 3.247570330384598469e-02
7.462311557788943617e+00 1.300399384811661528e-03
7.537688442211054607e+00 2.959092862349435235e-02
7.613065326633165597e+00 5.950697654801528208e-02
7.688442211055275699e+00 8.778507966520032735e-02
7.763819095477385801e+00 1.138057009984747014e-01
7.839195979899496791e+00 1.370058270433349157e-01
7.914572864321607781e+00 1.568909844297268208e-01
7.989949748743717883e+00 1.730456238928712864e-01
8.065326633165827985e+00 1.851416560989747606e-01
8.140703517587938975e+00 1.929449664827393440e-01
8.216080402010049966e+00 1.963197823295256272e-01
8.291457286432159179e+00 1.952308138376192548e-01
8.366834170854270170e+00 1.897431407406529602e-01
8.442211055276381160e+00 1.800198661501808128e-01
8.517587939698492150e+00 1.663176084898389251e-01
8.592964824120603140e+00 1.489799496582047966e-01
8.668341708542712354e+00 1.284290018505723496e-01
8.743718592964823344e+00 1.051552958359388557e-01
8.819095477386934334e+00 7.970622906323202028e-02
8.894472361809043548e+00 5.267334201003118915e-02
8.969849246231154538e+00 2.467871506494391173e-02
9.045226130653265528e+00 3.639204531752735210e-03
9.120603015075376518e+00 3.164002590870972076e-02
9.195979899497487509e+00 5.869576506377537778e-02
9.271356783919596722e+00 8.420480383420661519e-02
9.346733668341707713e+00 1.076051496316443729e-01
9.422110552763818703e+00 1.283867060793629222e-01
9.497487437185927917e+00 1.461022888287960286e-01
9.572864321608038907e+00 1.603771506910864064e-01
9.648241206030149897e+00 1.709168150972463218e-01
9.723618090452260887e+00 1.775130559910630401e-01
9.798994974874371877e+00 1.800479046676350392e-01
9.874371859296481091e+00 1.784956088355074688e-01
9.949748743718592081e+00 1.729225152938388965e-01
1.002512562814070307e+01 1.634848940465503664e-01
1.010050251256281229e+01 1.504247673913332584e-01
1.017587939698492328e+01 1.340638515133185660e-01
1.025125628140703427e+01 1.147957594163858952e-01
1.032663316582914526e+01 9.307665174038487477e-02
1.040201005025125625e+01 6.941455532596157996e-02
1.047738693467336546e+01 4.435759758893903504e-02
1.055276381909547645e+01 1.848142725970251810e-02
1.062814070351758744e+01 7.623891633383224169e-03
1.070351758793969665e+01 3.336721582754471893e-02
1.077889447236180764e+01 5.816958906811806052e-02
1.085427135678391863e+01 8.147714220229723692e-02
1.092964824120602962e+01 1.027733409153420291e-01
1.100502512562814061e+01 1.215903113321431528e-01
1.108040201005024983e+01 1.375189960467688710e-01
1.115577889447236082e+01 1.502179208570051383e-01
1.123115577889447181e+01 1.594203849201030199e-01
1.130653266331658102e+01 1.649399234592234254e-01
1.138190954773869201e+01 1.666739317024209799e-01
1.145728643216080300e+01 1.646053805278247517e-01
1.153266331658291399e+01 1.588025973756121978e-01
1.160804020100502498e+01 1.494171294018421248e-01
1.168341708542713420e+01 1.366797486219573365e-01
1.175879396984924519e+01 1.208946999733386679e-01
1.183417085427135618e+01 1.024323319082752481e-01
1.190954773869346539e+01 8.172028446325640960e-02
1.198492462311557638e+01 5.923344096954789167e-02
1.206030150753768737e+01 3.548287600112911416e-02
1.213567839195979836e+01 1.100405323750463724e-02
1.221105527638190935e+01 1.365545778863472628e-02
1.228643216080401857e+01 3.794846789358892469e-02
1.236180904522612956e+01 6.134057630127375677e-02
1.243718592964824055e+01 8.332222283374968175e-02
1.251256281407034976e+01 1.034201160640595002e-01
1.258793969849246075e+01 1.212077847542848280e-01
1.266331658291457174e+01 1.363150209526394208e-01
1.273869346733668273e+01 1.484360092312739521e-01
1.281407035175879372e+01 1.573359670998262794e-01
1.288944723618090293e+01 1.628561559213735910e-01
1.296482412060301392e+01 1.649171589002885185e-01
1.304020100502512491e+01 1.635203620570646055e-01
1.311557788944723413e+01 1.587476146624114404e-01
1.319095477386934512e+01 1.507590864586434432e-01
1.326633165829145611e+01 1.397893792355300313e-01
1.334170854271356710e+01 1.261419890539269839e-01
1.341708542713567809e+01 1.101822517659432066e-01
1.349246231155778730e+01 9.232893766476704678e-02
1.356783919597989829e+01 7.304469038548516702e-02
1.364321608040200928e+01 5.282552993601344338e-02
1.371859296482411850e+01 3.218965943517301115e-02
1.379396984924622949e+01 1.166582935919852244e-02
1.386934673366834048e+01 8.218478440116482736e-03
1.394472361809045147e+01 2.694878214167642505e-02
1.402010050251256246e+01 4.403498538701418330e-02
1.409547738693467167e+01 5.902216458247178110e-02
1.417085427135678266e+01 7.150052075909578420e-02
1.424623115577889365e+01 8.111427875773852270e-02
1.432160804020100286e+01 8.756934134590321772e-02
1.439698492462311386e+01 9.063953488859832763e-02
1.447236180904522485e+01 9.017131571500032472e-02
1.454773869346733584e+01 8.608684159769428024e-02
1.462311557788944683e+01 7.838534998554946842e-02
1.469849246231155604e+01 6.714282295875222129e-02
1.477386934673366703e+01 5.250995743867490489e-02
1.484924623115577802e+01 3.470849711831500845e-02
1.492462311557788723e+01 1.402601903178210888e-02
1.500000000000000000e+01 9.190698158231723480e-03
