t F
0.000000000000000000e+00 9.999999999999997780e-01
7.537688442211054607e-02 9.943237034952208120e-01
1.507537688442210921e-01 9.773592546649043644e-01
2.261306532663316382e-01 9.492992439922525172e-01
3.015075376884421843e-01 9.104622253582758118e-01
3.768844221105527303e-01 8.612890996292299484e-01
4.522613065326632764e-01 8.023381092885251142e-01
5.276381909547738225e-01 7.342785009370094151e-01
6.030150753768843686e-01 6.578829276086877176e-01
6.783919597989949146e-01 5.740186771552878708e-01
7.537688442211054607e-01 4.836378262802595862e-01
8.291457286432160068e-01 3.877664319994442721e-01
9.045226130653265528e-01 2.874928832333707440e-01
9.798994974874370989e-01 1.839555447708043356e-01
1.055276381909547645e+00 7.832983387660366614e-02
1.130653266331658191e+00 2.818512374210461330e-02
1.206030150753768737e+00 1.343801071220446230e-01
1.281407035175879283e+00 2.390495278372469223e-01
1.356783919597989829e+00 3.410051165537861806e-01
1.432160804020100375e+00 4.390894129679138169e-01
1.507537688442210921e+00 5.321889059818106782e-01
1.582914572864321467e+00 6.192466749418941152e-01
1.658291457286432014e+00 6.992743884288405987e-01
1.733668341708542560e+00 7.713635243819469967e-01
1.809045226130653106e+00 8.346956841803264693e-01
1.884422110552763652e+00 8.885518835893729817e-01
1.959798994974874198e+00 9.323207150961527745e-01
2.035175879396984744e+00 9.655052889700663776e-01
2.110552763819095290e+00 9.877288742497274399e-01
2.185929648241205836e+00 9.987391756162419254e-01
2.261306532663316382e+00 9.984111975992843169e-01
2.336683417085426928e+00 9.867486635997968492e-01
2.412060301507537474e+00 9.638839736197353236e-01
2.487437185929648020e+00 9.300767011787340888e-01
2.562814070351758566e+00 8.857106464815786007e-01
2.638190954773869112e+00 8.312894792906848629e-01
2.713567839195979658e+00 7.674310209682773110e-01
2.788944723618090205e+00 6.948602306019071584e-01
2.864321608040200751e+00 6.144009748389858139e-01
2.939698492462311297e+00 5.269666748640418064e-01
3.015075376884421843e+00 4.335499366997667137e-01
3.090452261306532389e+00 3.352112825548185793e-01
3.165829145728642935e+00 2.330671111468154422e-01
3.241206030150753481e+00 1.282770236820480747e-01
3.316582914572864027e+00 2.203065937494161353e-02
3.391959798994974573e+00 8.446581004178074781e-02
3.467336683417085119e+00 1.900033734938771368e-01
3.542713567839195665e+00 2.933839059762535784e-01
3.618090452261306211e+00 3.934337703785273366e-01
3.693467336683416757e+00 4.890171413094782649e-01
3.768844221105527303e+00 5.790488996604457039e-01
3.844221105527637850e+00 6.625069515209350834e-01
3.919597989949748396e+00 7.384438315948043119e-01
3.994974874371858942e+00 8.059974593881595872e-01
4.070351758793969488e+00 8.644009260583432885e-01
4.145728643216079590e+00 9.129912008179010829e-01
4.221105527638190580e+00 9.512166580532673832e-01
4.296482412060301570e+00 9.786433397058418304e-01
4.371859296482411672e+00 9.949598818212217477e-01
4.447236180904521774e+00 9.999810493374476916e-01
4.522613065326632764e+00 9.936498389832748579e-01
4.597989949748743754e+00 9.760381264131123835e-01
4.673366834170853856e+00 9.473458502319704877e-01
4.748743718592963958e+00 9.078987421738518027e-01
4.824120603015074948e+00 8.581446292019421218e-01
4.899497487437185939e+00 7.986483495113666509e-01
4.974874371859296041e+00 7.300853401510329910e-01
5.050251256281406143e+00 6.532339690617208205e-01
5.125628140703517133e+00 5.689666985816319578e-01
