state E Casimir
0.000000000000000000e+00 1.776356839400250465e-14 -4.532466518368341505e-17
1.000000000000000000e+00 5.999999999999995737e+01 3.000000000000002665e+00
2.000000000000000000e+00 5.999999999999997158e+01 2.999999999999998668e+00
3.000000000000000000e+00 5.999999999999998579e+01 2.999999999999998668e+00
4.000000000000000000e+00 5.999999999999998579e+01 2.999999999999997780e+00
5.000000000000000000e+00 5.999999999999998579e+01 2.999999999999999556e+00
6.000000000000000000e+00 5.999999999999999289e+01 2.999999999999999556e+00
7.000000000000000000e+00 6.000000000000000000e+01 3.000000000000000000e+00
8.000000000000000000e+00 6.000000000000000000e+01 3.000000000000000444e+00
9.000000000000000000e+00 6.000000000000000711e+01 3.000000000000000444e+00
