width E delta_E inv_width_sq
1.000000000000000000e+00 -1.557279343012276218e+00 4.427206569877237818e-01 1.000000000000000000e+00
2.000000000000000000e+00 -1.878826125626951171e+00 1.211738743730488288e-01 2.500000000000000000e-01
3.000000000000000000e+00 -1.945208954232696685e+00 5.479104576730331466e-02 1.111111111111111049e-01
4.000000000000000000e+00 -1.968992874010817129e+00 3.100712598918287100e-02 6.250000000000000000e-02
5.000000000000000000e+00 -1.980099667498336657e+00 1.990033250166334255e-02 4.000000000000000083e-02
6.000000000000000000e+00 -1.986159224980666771e+00 1.384077501933322907e-02 2.777777777777777624e-02
8.000000000000000000e+00 -1.992202742819757288e+00 7.797257180242711527e-03 1.562500000000000000e-02
1.000000000000000000e+01 -1.995006883297531619e+00 4.993116702468380907e-03 1.000000000000000021e-02
1.200000000000000000e+01 -1.996539274563252864e+00 3.460725436747136285e-03 6.944444444444444059e-03
1.500000000000000000e+01 -1.997835495662128036e+00 2.164504337871964168e-03 4.444444444444444441e-03
2.000000000000000000e+01 -1.998928934364860410e+00 1.071065635139589745e-03 2.500000000000000052e-03
