phi S
0.000000000000000000e+00 3.463581464097853502e-01
1.570796326794896558e-01 3.447149624148930780e-01
3.141592653589793116e-01 3.400495256817008816e-01
4.712388980384689674e-01 3.326132923169413669e-01
6.283185307179586232e-01 3.229908680463207671e-01
7.853981633974482790e-01 3.132555794724107279e-01
9.424777960769379348e-01 3.023001173672285602e-01
1.099557428756427591e+00 2.906113988061535536e-01
1.256637061435917246e+00 2.829217430528747634e-01
1.413716694115406902e+00 2.786590832403837981e-01
1.570796326794896558e+00 2.812348165717497572e-01
1.727875959474386214e+00 2.916674802876608741e-01
1.884955592153875870e+00 3.065353866546904338e-01
2.042035224833365525e+00 3.260074582509976948e-01
2.199114857512855181e+00 3.469049452228696873e-01
2.356194490192344837e+00 3.686414339618744318e-01
2.513274122871834493e+00 3.875429804337858219e-01
2.670353755551324149e+00 4.040496623181113467e-01
2.827433388230813804e+00 4.162921817849305484e-01
2.984513020910303460e+00 4.237603896291576300e-01
3.141592653589793116e+00 4.262703937881063831e-01
