t_step,t_physical,avg_degree,degree_50,degree_90,graph_radius_50,graph_radius_90,graph_diameter_est,reachable_fraction,eff_dist_mean,eff_dist_90,a_graph_90,a_eff_90
0,0.0,127.0,127.0,127.0,1.0,1.0,1.0,1.0,199.76638228520991,341.3691920388094,1.0,1.0
10,1.0,114.625,120.0,122.0,1.0,1.0,2.0,1.0,194.41256418469288,334.513454739851,1.0,0.9799169419536283
20,2.0,104.34375,114.0,117.0,1.0,1.2999999999999972,2.0,1.0,187.75248887486296,329.0299003712927,1.2999999999999972,0.9638535288031678
30,3.0,95.203125,109.0,111.0,2.0,2.0,2.0,1.0,181.68775554094228,319.19648935881537,2.0,0.9350477336646323
40,4.0,87.546875,103.0,107.0,2.0,2.0,2.0,1.0,176.6943259388794,306.322382195212,2.0,0.8973345847811217
50,5.0,80.15625,98.0,102.0,2.0,2.0,2.0,1.0,169.12283758719403,295.32125111280203,2.0,0.8651080941106944
60,6.0,72.484375,91.0,97.0,2.0,2.0,2.0,1.0,159.1603207564493,281.6613323424314,2.0,0.8250930046153961
70,7.0,65.734375,84.0,91.0,2.0,2.0,2.0,1.0,147.76170587922545,267.7659415397667,2.0,0.7843881281159228
80,8.0,61.34375,78.5,87.3,2.0,2.0,2.0,1.0,142.58374653715111,259.43899726458204,2.0,0.7599953461385791
90,9.0,57.296875,44.5,82.3,2.0,2.0,2.0,1.0,132.84884121739057,246.26457561763615,2.0,0.7214024620875541
100,10.0,53.4375,42.0,79.0,2.0,2.0,3.0,1.0,126.7956696044651,233.37068917865122,2.0,0.6836313721951801
110,11.0,50.609375,41.0,75.3,2.0,2.0,3.0,1.0,117.83804372785094,219.84573127011598,2.0,0.6440116343162047
120,12.0,47.171875,40.0,71.0,2.0,2.0,3.0,1.0,109.33379822249914,194.97826494380797,2.0,0.5711653819119137
130,13.0,44.6875,39.0,68.3,2.0,2.0,3.0,1.0,101.1422058516475,185.1487930732142,2.0,0.5423711260158623
140,14.0,42.84375,38.0,67.0,2.0,2.0,3.0,1.0,101.32987015510253,184.78007350986525,2.0,0.5412910063918658
150,15.0,41.546875,37.5,65.0,2.0,2.0,3.0,1.0,97.0020097786485,177.24245630959396,2.0,0.5192104631675248
160,16.0,39.515625,36.5,61.3,2.0,2.0,3.0,1.0,92.51447991042369,169.69139382034518,2.0,0.4970905335858586
170,17.0,36.8125,36.0,56.0,2.0,2.0,3.0,1.0,83.78526878781624,146.78138579058165,2.0,0.42997841988592356
180,18.0,34.84375,34.0,53.0,2.0,2.0,3.0,1.0,79.36692658328123,131.51423758704505,2.0,0.3852551450281241
190,19.0,33.109375,33.0,51.3,2.0,3.0,3.0,1.0,76.37687178672762,123.8012038946272,3.0,0.3626607402830674
200,20.0,31.265625,32.0,48.0,2.0,3.0,3.0,1.0,71.92208260289476,104.83943138408993,3.0,0.30711450777951577
210,21.0,29.5625,31.0,45.0,2.0,3.0,3.0,1.0,67.23302103980573,98.83335021171193,3.0,0.28952041518871396
220,22.0,28.234375,30.0,43.0,3.0,3.0,5.0,1.0,66.07944989458647,98.16949359625234,3.0,0.2875757270594345
230,23.0,26.65625,29.0,41.3,3.0,3.0,5.0,1.0,64.3886732421364,97.774204186416,3.0,0.2864177742650552
240,24.0,25.4375,28.0,40.0,3.0,3.0,5.0,1.0,62.8540001970305,97.06048315414208,3.0,0.2843270143226853
250,25.0,24.640625,27.0,37.3,3.0,3.0,5.0,1.0,59.80007084915593,94.76771754223729,3.0,0.2776106331571462
260,26.0,23.21875,26.0,35.0,3.0,3.0,5.0,1.0,58.66155562946364,93.72218308168345,3.0,0.27454786567567124
270,27.0,21.71875,23.5,34.0,3.0,3.0,5.0,1.0,58.8743916938545,94.21395982378847,3.0,0.275988466507773
280,28.0,21.109375,23.0,33.0,3.0,3.0,5.0,0.984375,55.634746521017874,91.64861766562905,3.0,0.2684736051260588
290,29.0,20.109375,22.5,32.0,3.0,3.0,5.0,0.984375,50.445842067306046,88.80517620930286,3.0,0.26014408529052857
300,30.0,19.359375,21.0,30.299999999999997,3.0,3.0,5.0,0.984375,46.31558313661621,84.99735502842242,3.0,0.2489895310141499
310,31.0,18.4375,20.5,29.0,3.0,3.0,5.0,0.984375,46.47623193554325,86.01060585745611,3.0,0.251957727479045
320,32.0,17.65625,20.0,29.0,3.0,3.0,5.0,0.984375,45.46473468464272,85.18100065399716,3.0,0.24952749879172795
330,33.0,17.078125,19.0,28.0,3.0,3.0,5.0,0.984375,45.73907903776948,86.3326006581944,3.0,0.2529009725294117
340,34.0,16.3125,18.5,27.0,3.0,3.0,5.0,0.96875,45.89074207482174,86.6159214824452,3.0,0.2537309268160264
350,35.0,15.234375,16.0,25.0,3.0,3.0,5.0,0.96875,45.468968218667,86.48098113322357,3.0,0.25333563528893893
360,36.0,14.296875,15.5,24.0,3.0,3.0,5.0,0.96875,45.23813247095271,87.2557590394462,3.0,0.2556052540017329
370,37.0,13.3125,14.0,23.0,3.0,4.0,5.0,0.96875,45.00618928891302,87.0720274044455,4.0,0.2550670342698837
380,38.0,12.734375,13.5,22.299999999999997,3.0,4.0,5.0,0.96875,44.81996531366453,87.25828415582401,4.0,0.255612651026528
