t_step,step,avg_degree,degree_90,center_radius_90,center_reach_fraction,giant_fraction,giant_radius_90,eff_radius_90
0.0,0,38.1875,43.0,2.0,1.0,1.0,2.0,2.0
1.0,10,37.875,43.0,2.0,1.0,1.0,2.0,2.0
2.0,20,37.796875,43.0,2.0,1.0,1.0,2.0,2.0
3.0,30,37.09375,42.3,2.0,1.0,1.0,2.0,2.0
4.0,40,36.484375,42.0,2.0,1.0,1.0,2.0,2.0
5.0,50,36.28125,41.3,2.0,1.0,1.0,2.0,2.0
6.0,60,35.703125,41.0,2.0,1.0,1.0,2.0,2.0
7.0,70,35.234375,41.0,2.0,1.0,1.0,2.0,2.0
8.0,80,34.984375,41.0,2.0,1.0,1.0,2.0,2.0
9.0,90,34.25,41.0,2.0,1.0,1.0,2.0,2.0
10.0,100,33.59375,40.0,2.0,1.0,1.0,2.0,2.0
11.0,110,32.71875,39.3,2.0,1.0,1.0,2.0,2.0
12.0,120,31.921875,39.0,2.0,1.0,1.0,2.0,2.0
13.0,130,30.953125,38.0,2.0,1.0,1.0,2.0,2.0
14.0,140,30.125,37.3,2.0,1.0,1.0,2.0,2.0
15.0,150,29.78125,37.0,2.0,1.0,1.0,2.0,2.0
16.0,160,29.1875,36.0,2.0,1.0,1.0,2.0,2.0
17.0,170,27.8125,36.0,2.0,1.0,1.0,2.0,2.0
18.0,180,27.3125,35.3,2.0,1.0,1.0,2.0,2.0
19.0,190,26.140625,35.0,2.0,1.0,1.0,2.0,2.0
20.0,200,25.015625,34.0,2.0,1.0,1.0,2.0,2.0
21.0,210,23.71875,33.0,2.0,1.0,1.0,2.0,2.0
22.0,220,23.109375,33.0,2.0,1.0,1.0,2.0,2.0
23.0,230,21.71875,31.0,2.0,1.0,1.0,2.0,2.0
24.0,240,21.328125,31.0,2.0,1.0,1.0,2.0,2.0
25.0,250,20.40625,30.0,2.299999999999997,1.0,1.0,2.299999999999997,2.299999999999997
26.0,260,19.359375,29.0,3.0,1.0,1.0,3.0,3.0
27.0,270,18.625,28.0,3.0,1.0,1.0,3.0,3.0
28.0,280,18.078125,28.0,3.0,1.0,1.0,3.0,3.0
29.0,290,18.0,28.0,2.299999999999997,1.0,1.0,2.299999999999997,2.299999999999997
30.0,300,17.171875,26.299999999999997,3.0,1.0,1.0,3.0,3.0
31.0,310,16.265625,26.0,3.0,1.0,1.0,3.0,3.0
32.0,320,15.4375,25.0,3.0,1.0,1.0,3.0,3.0
33.0,330,14.921875,25.0,3.0,1.0,1.0,3.0,3.0
34.0,340,14.171875,25.0,3.0,1.0,1.0,3.0,3.0
35.0,350,13.53125,24.0,3.0,1.0,1.0,3.0,3.0
36.0,360,12.828125,22.299999999999997,3.0,1.0,1.0,3.0,3.0
37.0,370,12.0,21.0,3.0,0.984375,0.984375,3.0,3.0
38.0,380,11.25,20.0,3.0,0.984375,0.984375,3.0,3.0
39.0,390,10.75,20.0,3.0,0.984375,0.984375,3.0,3.0
40.0,400,10.265625,19.299999999999997,3.0,0.984375,0.984375,3.0,3.0
41.0,410,9.578125,18.0,3.0,0.984375,0.984375,3.0,3.0
42.0,420,9.15625,17.0,3.0,0.984375,0.984375,3.0,3.0
43.0,430,8.96875,17.0,3.0,0.984375,0.984375,3.0,3.0
