step,t,n_edges,fermion_fraction,boson_fraction,frac_FF,frac_BB,frac_FB,frac_other,ff_fraction_random,mean_fermion_distance
0,0.00000000,733,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,nan
20,1.00000000,1350,0.234375,0.765625,0.077778,0.400000,0.522222,0.000000,0.054932,1.0
40,2.00000000,1675,0.515625,0.453125,0.279403,0.190448,0.478806,0.051343,0.265869,1.103515625
60,3.00000000,1805,0.390625,0.546875,0.156233,0.293629,0.445429,0.104709,0.152588,1.0807291666666667
80,4.00000000,1905,0.421875,0.515625,0.181627,0.261417,0.450394,0.106562,0.177979,1.0192307692307692
100,5.00000000,1972,0.500000,0.421875,0.248986,0.177485,0.434584,0.138945,0.250000,1.0
120,6.00000000,1998,0.468750,0.484375,0.216717,0.232733,0.463964,0.086587,0.219727,1.0043103448275863
140,7.00000000,2011,0.406250,0.562500,0.161611,0.313277,0.464943,0.060169,0.165039,1.0
160,8.00000000,2011,0.484375,0.484375,0.230731,0.231228,0.477872,0.060169,0.234619,1.0020833333333334
180,9.00000000,2013,0.500000,0.484375,0.245902,0.230999,0.492797,0.030303,0.250000,1.002016129032258
200,10.00000000,2015,0.406250,0.578125,0.161290,0.330521,0.477419,0.030769,0.165039,1.0
220,11.00000000,2015,0.390625,0.593750,0.148883,0.348883,0.471464,0.030769,0.152588,1.0
240,12.00000000,2015,0.453125,0.531250,0.201489,0.278412,0.489330,0.030769,0.205322,1.0
260,13.00000000,2015,0.421875,0.562500,0.174194,0.312655,0.482382,0.030769,0.177979,1.0
280,14.00000000,2015,0.421875,0.562500,0.174194,0.312655,0.482382,0.030769,0.177979,1.0
300,15.00000000,2016,0.375000,0.609375,0.136905,0.367560,0.464286,0.031250,0.140625,1.0
320,16.00000000,2016,0.406250,0.578125,0.161210,0.330357,0.477183,0.031250,0.165039,1.0
340,17.00000000,2016,0.453125,0.531250,0.201389,0.278274,0.489087,0.031250,0.205322,1.0
360,18.00000000,2016,0.421875,0.562500,0.174107,0.312500,0.482143,0.031250,0.177979,1.0
380,19.00000000,2016,0.468750,0.515625,0.215774,0.261905,0.491071,0.031250,0.219727,1.0
400,20.00000000,2016,0.500000,0.484375,0.246032,0.230655,0.492063,0.031250,0.250000,1.0
420,21.00000000,2016,0.421875,0.562500,0.174107,0.312500,0.482143,0.031250,0.177979,1.0
440,22.00000000,2016,0.468750,0.531250,0.215774,0.278274,0.505952,0.000000,0.219727,1.0
460,23.00000000,2016,0.484375,0.500000,0.230655,0.246032,0.492063,0.031250,0.234619,1.0
480,24.00000000,2016,0.500000,0.484375,0.246032,0.230655,0.492063,0.031250,0.250000,1.0
500,25.00000000,2016,0.484375,0.500000,0.230655,0.246032,0.492063,0.031250,0.234619,1.0
520,26.00000000,2016,0.437500,0.531250,0.187500,0.278274,0.472222,0.062004,0.191406,1.0
540,27.00000000,2016,0.500000,0.468750,0.246032,0.215774,0.476190,0.062004,0.250000,1.0
560,28.00000000,2016,0.515625,0.484375,0.261905,0.230655,0.507440,0.000000,0.265869,1.0
580,29.00000000,2016,0.484375,0.500000,0.230655,0.246032,0.492063,0.031250,0.234619,1.0
600,30.00000000,2016,0.406250,0.593750,0.161210,0.348710,0.490079,0.000000,0.165039,1.0
620,31.00000000,2016,0.375000,0.609375,0.136905,0.367560,0.464286,0.031250,0.140625,1.0
640,32.00000000,2016,0.437500,0.546875,0.187500,0.295139,0.486111,0.031250,0.191406,1.0
660,33.00000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
680,34.00000000,2016,0.421875,0.562500,0.174107,0.312500,0.482143,0.031250,0.177979,1.0
700,35.00000000,2016,0.453125,0.515625,0.201389,0.261905,0.474702,0.062004,0.205322,1.0
720,36.00000000,2016,0.484375,0.484375,0.230655,0.230655,0.476687,0.062004,0.234619,1.0
740,37.00000000,2016,0.453125,0.531250,0.201389,0.278274,0.489087,0.031250,0.205322,1.0
760,38.00000000,2016,0.406250,0.593750,0.161210,0.348710,0.490079,0.000000,0.165039,1.0
780,39.00000000,2016,0.328125,0.656250,0.104167,0.427083,0.437500,0.031250,0.107666,1.0
800,40.00000000,2016,0.390625,0.593750,0.148810,0.348710,0.471230,0.031250,0.152588,1.0
820,41.00000000,2016,0.546875,0.437500,0.295139,0.187500,0.486111,0.031250,0.299072,1.0
840,42.00000000,2016,0.390625,0.593750,0.148810,0.348710,0.471230,0.031250,0.152588,1.0
860,43.00000000,2016,0.390625,0.593750,0.148810,0.348710,0.471230,0.031250,0.152588,1.0
880,44.00000000,2016,0.500000,0.453125,0.246032,0.201389,0.460317,0.092262,0.250000,1.0
900,45.00000000,2016,0.437500,0.531250,0.187500,0.278274,0.472222,0.062004,0.191406,1.0
920,46.00000000,2016,0.468750,0.531250,0.215774,0.278274,0.505952,0.000000,0.219727,1.0
940,47.00000000,2016,0.437500,0.546875,0.187500,0.295139,0.486111,0.031250,0.191406,1.0
960,48.00000000,2016,0.453125,0.531250,0.201389,0.278274,0.489087,0.031250,0.205322,1.0
980,49.00000000,2016,0.375000,0.609375,0.136905,0.367560,0.464286,0.031250,0.140625,1.0
1000,50.00000000,2016,0.296875,0.656250,0.084821,0.427083,0.395833,0.092262,0.088135,1.0
1020,51.00000000,2016,0.390625,0.593750,0.148810,0.348710,0.471230,0.031250,0.152588,1.0
1040,52.00000000,2016,0.406250,0.562500,0.161210,0.312500,0.464286,0.062004,0.165039,1.0
1060,53.00000000,2016,0.343750,0.625000,0.114583,0.386905,0.436508,0.062004,0.118164,1.0
1080,54.00000000,2016,0.359375,0.625000,0.125496,0.386905,0.456349,0.031250,0.129150,1.0
1100,55.00000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
1120,56.00000000,2016,0.359375,0.593750,0.125496,0.348710,0.433532,0.092262,0.129150,1.0
1140,57.00000000,2016,0.359375,0.578125,0.125496,0.330357,0.422123,0.122024,0.129150,1.0
1160,58.00000000,2016,0.375000,0.546875,0.136905,0.295139,0.416667,0.151290,0.140625,1.0
1180,59.00000000,2016,0.390625,0.578125,0.148810,0.330357,0.458829,0.062004,0.152588,1.0
1200,60.00000000,2016,0.406250,0.531250,0.161210,0.278274,0.438492,0.122024,0.165039,1.0
1220,61.00000000,2016,0.484375,0.453125,0.230655,0.201389,0.445933,0.122024,0.234619,1.0
1240,62.00000000,2016,0.328125,0.593750,0.104167,0.348710,0.395833,0.151290,0.107666,1.0
1260,63.00000000,2016,0.375000,0.562500,0.136905,0.312500,0.428571,0.122024,0.140625,1.0
1280,64.00000000,2016,0.359375,0.609375,0.125496,0.367560,0.444940,0.062004,0.129150,1.0
