time,total_excitation,total_excess,percent_above_vacuum,frac_sites_excess,excess_site0,excess_site1,excess_site2,excess_site3,excess_site4,excess_site5,excess_site6,excess_site7,excess_site8,excess_site9,excess_site10,excess_site11
0,6.00999957,0.0374261924,0.622732031,0.583333333,0,0.00700798802,0,0.000583579649,0.00634288738,0.00792691849,0.000282847999,0,0,0.0141104847,0,0.00117148612
0.1,6.00999957,0.043993668,0.732007841,0.5,0,0.00846824486,0,0,0.00632431329,0.0185109469,0.00152249148,0,0,0.00835981779,0,0.000807853726
0.2,6.00999957,0.03903017,0.649420513,0.5,0,0.00670058569,0.00304678274,0,0.0012359234,0.0217980571,0.00373920054,0,0,0.00250962056,0,0
0.3,6.00999957,0.0355812051,0.592033406,0.5,0,0.00418152134,0.00511616956,0,0,0.0161546617,0.00518104878,0.00375908998,0.00118871372,0,0,0
0.4,6.00999957,0.0291326023,0.484735514,0.583333333,0.000558022226,0.00291510058,0.00380916832,0,0,0.00573223462,0.00687702889,0.00637558524,0.0028654624,0,0,0
0.5,6.00999957,0.0261078477,0.434406814,0.583333333,0.00428745717,0.00311015623,0,0.000880226195,0,0,0.0101687801,0.00528957807,0.0013411216,0,0.00103052825,0
0.6,6.00999957,0.0316417334,0.526484787,0.5,0.00327257226,0.00438355496,0,0.00356944762,0,0,0.0128892923,0.00248682225,0,0,0.00504004398,0
0.7,6.00999957,0.0328722814,0.546959797,0.5,0,0.00643901092,0,0.00227718363,0,0,0.0109801692,0.00313123132,0,0,0.00687928116,0.00316540524
0.8,6.00999957,0.0378978858,0.630580508,0.5,0,0.0079634626,0,0,0.00586733272,0,0.00495994174,0.00754470935,0,0,0.0066604813,0.00490195808
0.9,6.00999957,0.0398071866,0.662349243,0.583333333,0,0.00631934644,0,0,0.00803758661,0.00456814081,0.000170931392,0.00982988288,0,0,0.00464103326,0.00624026523
1,6.00999957,0.0329370786,0.548037952,0.416666667,0,0,0,0,0.0051477751,0.0117949523,0,0.00683402517,0,0,0.00182642212,0.0073339039
1.1,6.00999957,0.0354624518,0.590057476,0.5,0.0046370876,0,0,0,0.00335187764,0.0169939773,0,0.00193126239,0,0.000982740559,0,0.00756550625
1.2,6.00999957,0.0451104537,0.750589965,0.416666667,0.00953103422,0,0,0,0.00537655216,0.0152964644,0,0,0,0.00692466252,0,0.00798174036
1.3,6.00999957,0.0477256942,0.794104785,0.5,0.00996153622,0,0,0,0.00858383267,0.00788919142,0.000584810418,0,0,0.0104968031,0,0.0102095203
1.4,6.00999957,0.044387176,0.738555395,0.5,0.00583572416,0,0,0,0.0100333173,0,0.00376053447,0,0.00263806083,0.00879922088,0,0.0133203184
1.5,6.00999957,0.0353827568,0.588731436,0.5,9.35466259e-05,0,0,0,0.00813232191,0,0.000625908864,0,0.00889423864,0.00351095876,0,0.014125782
1.6,6.00999957,0.0361521583,0.601533459,0.5,0,0.00793235203,0,0,0.00270376763,0,0,0.000941668287,0.0130100298,0,0.00118274646,0.0103815941
1.7,6.00999957,0.0382855264,0.637030435,0.333333333,0,0.0122070301,0,0,0,0,0,0,0.0113463818,0,0.0113673078,0.00336480672
1.8,6.00999957,0.0357235692,0.594402192,0.333333333,0.00230096863,0.00865972103,0,0,0,0,0,0,0.00471900446,0,0.0200438751,0
1.9,6.00999957,0.0410639418,0.683260312,0.5,0.00719744037,0.00116130915,0.00221486665,0.00569845041,0,0,0,0,0,0.000680035908,0.0241118393,0
2,6.00999957,0.0480520956,0.799535759,0.416666667,0.00997860919,0,0.0077466937,0.00803613791,0,0,0,0,0,0.000503226395,0.0217874284,0
2.1,6.00999957,0.0458711868,0.763247755,0.416666667,0.00979472137,0,0.0144645784,0.00611035918,0.00228557885,0,0,0,0,0,0.013215949,0
