step,n_edges,mean_degree,min_degree,max_degree,sample_diameter,mean_coupling,std_coupling,max_coupling
0,4084,63.8125,51,74,2,0.015670910871694418,0.008624486022302454,0.07474434205653283
10,3582,55.96875,9,69,3,0.016132304066769288,0.009166036923624048,0.10162105530566774
20,3184,49.75,8,67,3,0.01701131204826268,0.010769331902710724,0.10808073115797497
30,2915,45.546875,8,65,3,0.01824071859589433,0.013421091571008839,0.11356461182917778
40,2654,41.46875,6,63,3,0.01949510563706302,0.01540803291431153,0.151410156212206
50,2355,36.796875,6,60,3,0.020908585366930507,0.016807069193699817,0.1554251947610547
60,2125,33.203125,6,59,3,0.02209910875927527,0.018523494890358854,0.23669082365274083
70,1897,29.640625,4,55,3,0.02384718347819831,0.019744162086977563,0.23669082365274083
80,1686,26.34375,4,53,3,0.025867043036922836,0.021577962805924493,0.23669082365274083
90,1583,24.734375,3,52,3,0.028495192151014072,0.02830239202068229,0.39601615918051014
100,1483,23.171875,3,52,3,0.032136228249550994,0.03531306144721499,0.39601615918051014
110,1383,21.609375,2,52,3,0.03367763230159759,0.037430017299462465,0.43106186956231407
120,1337,20.890625,2,52,3,0.03686508570322526,0.043131858340972405,0.5159650238840398
130,1299,20.296875,2,52,3,0.04057191627304895,0.047304268846882165,0.5159650238840398
140,1224,19.125,1,52,3,0.04298009462746073,0.04975687647161957,0.5655021926305692
150,1146,17.90625,1,52,3,0.046593695841444516,0.054050691116947824,0.5655021926305692
160,1096,17.125,1,51,3,0.04819073574421446,0.05402385281914116,0.7736772719633307
170,1095,17.109375,1,51,3,0.05279077934078989,0.06769199958083925,0.9387368120534185
180,1001,15.640625,1,46,3,0.05522599090968273,0.07218411837233453,0.9387368120534185
190,966,15.09375,1,46,4,0.05854317150046102,0.0877933857064044,1.0
200,950,14.84375,1,46,3,0.06206348590759862,0.09124656542654311,1.0
210,949,14.828125,1,46,3,0.06436549736164203,0.08786196703235062,1.0
220,890,13.90625,1,46,4,0.06366351293496683,0.08123272535675344,1.0
230,890,13.90625,1,46,4,0.06772193599364146,0.0923739601013087,1.0
240,820,12.8125,0,45,4,0.07076825116046583,0.09565023539602963,1.0
250,819,12.796875,0,45,3,0.07606491862736924,0.10529708608184667,1.0000000000000002
260,818,12.78125,0,45,3,0.07954966210076979,0.10841970125386927,1.0000000000000002
270,756,11.8125,0,45,4,0.07912250034149515,0.10946957864354563,1.0000000000000002
280,738,11.53125,0,45,3,0.07961834687780733,0.10186788854828001,1.0
290,652,10.1875,0,42,4,0.07728273426176423,0.10322023936259926,1.0
300,630,9.84375,0,42,4,0.08137180168553924,0.11194179985623669,1.0
310,611,9.546875,0,42,4,0.08088717996868461,0.10224076287020283,1.0
320,610,9.53125,0,42,4,0.08603814126004165,0.11149889191334583,1.0
330,607,9.484375,0,42,3,0.09051084717635556,0.11714231754058824,1.0
340,607,9.484375,0,42,4,0.09432265204204572,0.12201979443204526,1.0
350,606,9.46875,0,42,4,0.09911274100183014,0.13425244171704923,1.0
360,581,9.078125,0,41,3,0.09720320978132918,0.12652348082403014,1.0
370,560,8.75,0,40,3,0.09780490456039614,0.1317384651321331,1.0
380,557,8.703125,0,40,4,0.09861482172093299,0.13158359061808797,1.0
390,546,8.53125,0,40,5,0.10001048257925697,0.1414485569802557,1.0
400,544,8.5,0,40,4,0.09867574385513002,0.14041178587095215,1.0
410,539,8.421875,0,40,4,0.09879707286140683,0.142115628547471,1.0
420,538,8.40625,0,40,6,0.1007742290221895,0.1453111479680815,1.0
430,532,8.3125,0,40,3,0.09599883455548552,0.1350681027589979,1.0
440,516,8.0625,0,40,4,0.0940298946441098,0.13561105366284945,1.0000000000000002
450,500,7.8125,0,39,4,0.08838540304366097,0.124195421030287,1.0000000000000002
460,499,7.796875,0,39,5,0.09376268349305089,0.12325784331371101,1.0000000000000002
470,496,7.75,0,39,7,0.09588247780391324,0.1280600674910582,1.0000000000000002
480,494,7.71875,0,39,4,0.0978085786973787,0.13069408494642556,1.0000000000000002
